Name,YearOfInstallation,Status,DescriptionOfwork,ArtistProjectStatement,SiteName,SiteAddress,Neighbourhood,Latitude,Longitude
V6A ART,1995,In place,"V6A ART is a mural painted on a brick wall. Each brick was painted by a different participant in the project and reflects positive images of the Downtown Eastside, an economically depressed area of the Cty.","The Downtown Eastsite of Vancouver, the area denoted as V6A by the Canadian Postal Code system, is the lowest income per capita postal code in the country. The residents of the Downtown Eastside were given the opportunity to express their concerns, hopes, dreams and observations of their community and lives through the process of art-making. A series of workshops resulted in the production of individual works and a mural located at the Living Room Drop-In Centre.Throughout the summer of 1995, community members were given the opportunity to undertake art projects at their own pace and following their own vision. The Living Room mural, which is composed of over 300 individual pieces of art, provides a permanent public record of this process. An exhibition of works by downtown eastside residents was held at the exhibitions space The Atrium at 885 West Georgia.",Lookout Drop-in Centre,528 Powell Street,Strathcona,49.282956,-123.092458
Woodland Circles,1997,In place,"Cement circles with stone and copper elements on the surface, installed flush with the ground.",,Queen Elizabeth Elementary School,4275 Crown Street,Dunbar-Southlands,49.248834,-123.193971
Days of Sun,1999,In place,The project includes paintings and three sidewalk mosaics of inlaid metal and tile. The sidewalk mosaics are meant to indicate welcome mats for people in the community and visitors to the centre.,"Ann Marie Slater worked with 80 participants from the Multicultual Family Centre, the Kettle Friendship Centre, and MOSAIC to create the paintings and mosaics.",Reach Community Health Centre,1145 Commercial Drive,Grandview-Woodland,49.274443,-123.069679
Games We've Played,1999,In place,"A ceramic tile mural of children's drawings is installed on the south wall of the Annex and matching tiles are placed out in the community on private houses, steps, retail storefronts, parks, etc.  Tile images are based on games children play, across generations and in their countries of origin.","Each Queen Victoria student created a design from which two tiles were made.... The scattered second set of tiles acts as a link between the community and the school, and as a game to find the match with the one at the school.",Queen Victoria School Annex,1850 East 3rd,Grandview-Woodland,49.267238,-123.066927
Mid-Main Mural Project,1998,In place,"The mural covers the entire front of the building on either side of the entrance facing south on 24th Ave.   Images are of children playing and people walking, representing the different cultural groups in the community.","The objective of the mural is to create better community awareness of the services of the clinic, beautify an institutional building and contribute to the neighbourhood health and beautification.",Mid-Main Community Health Centre,3998 Main Street,RileyPark,49.249438,-123.100666
Trafalgar Tile Wall,1998,In place,"The wall consists of 588 tiles, 6""x6"" each, created by each of  students at Trafalgar Elementary School.  The imagery represents cultural backgrounds and values, as well as historical highlights of the school's history.",The goals of the project were to involve parents and students in working together to create a visual representation of the cultural diversity of the community and the role of the school over 50 years.,Trafalgar Elementary School,4170 Trafalgar,Arbutus Ridge,49.249535,-123.164822
Welcoming Walkway,2001,In place,The project includes mosaics on the front walkway and also banners.,,Moberly Arts Centre,7646 Prince Albert,Sunset,49.215366,-123.087683
Sculpture Poems,1996,In place,30-foot high faceted cedar poles with bronze Poem-Markers and six bollards sited beside ravine pathways,"Approximately 80 students created ""poems"" expressing their ideas about the ravine.  From these five were selected to be reproduced in clay and then bronze.  First year students from Emily Carr Institute of Art and Design assisted the Lord Beaconsfield Elementary School students with their clay modeling.  The Emily Carr students created animal and plant images interpreting the poems that were used as borders for the poems.  Later these were cast in bronze.  The bronze Poem Markers line the newly created pathway that runs along side the Renfrew Ravine.  Renfrew Ravine Totems created from drawings of flora and fauna from the ravine were crafted from computer-laser technology.  These forms were attached to 30-foot high faceted cedar poles and welcome visitors at both entrances to the Renfrew Ravine pathway.",Renfrew Community Centre,2929 East 22nd Avenue,Renfrew-Collingwood,49.252022,-123.044155
Dry Stream,1997,In place,"A stone mosaic ""stream""runs beside the walkway.  It is animated with creatures inlaid and various colours of stone and ""flows"" from a small cave which could be the mouth of an animal.",The project was to build a pebble mosaic with volunteers from the neighbourhood.,John Street pedestrian throughway,John Street,RileyPark,49.247555,-123.097036
Leaf Bench I & II,1997,In place,"Two steel leaf benches - one backless - take their inspiration from the veins of a leaf.  Fabricated with steel plate and flat bar, sandblasting and clear coated.",,Prince Albert Greenway,,Mount Pleasant,49.257805,-123.087206
Reclining Figure,1991,In place,"Driftwood pieces work together to form a figure, situated on a knoll in the park.",,Guelph Park,400 8th Avenue,Mount Pleasant,49.263812,-123.096203
Three Herons,1998,In place,Bent aluminum 3-dimensional forms in the shape of herons which sit atop 12' poles along the bike path.,,Ridgeway Greenway,37th & Colluden/Knight,Kensington-Cedar Cottage,49.236852,-123.077085
Living Wall,1997,In place,A vertical garden in open wood planters which serve as pillars are interspersed with art mural panels.,"""The Living Wall Garden Project promotes innovated forms of urban agriculture and creates alternatives for the design of our growing city's future.  We strengthen the relationships between street-involved youth, seniors, families, businesses and service organizations through participation in hands-on projects."" Farmfolk/Cityfolk brochure",Vancouver Aquatic Centre,1050 Beach Avenue,West End,49.276558,-123.135019
McGill Park,1997,In place,"Unique benches, tables, and pebble mosaics are scattered along the path in this small corner park.",Ideas were generated through workshops and an on-site design event.,McGill Park,2305 McGill,Hastings-Sunrise,49.288612,-123.057441
